,0,2000,4000,6000,8000,10000
1,75000,81012,87720,95748,100000,100000
2,75000,76308,77892,80112,82572,85392
3,75000,81120,88812,97884,100000,100000
4,75000,78948,83976,90036,97344,100000
5,75000,82572,92124,100000,100000,100000
6,75000,77196,79404,82128,84564,87876
7,75000,76920,78612,80640,83160,86088
8,75000,82248,90804,100000,100000,100000
9,75000,78276,82284,87840,94008,100000
10,75000,78852,84264,90576,97620,100000
11,75000,76980,79764,83100,86424,90708
12,75000,80340,85824,92712,100000,100000
13,75000,82824,92184,100000,100000,100000
14,75000,77964,81540,85920,91584,97488
15,75000,76956,78984,81672,84624,87972
16,75000,80100,86304,93936,100000,100000
17,75000,82752,91896,100000,100000,100000
18,75000,78672,83232,89544,96900,99994
19,75000,76860,79872,82776,86148,90084
20,75000,80064,85512,92268,99994,100000
21,75000,82368,91692,100000,100000,100000
22,75000,79188,84588,90672,98004,100000
23,75000,80736,87324,95712,100000,100000
24,75000,83640,93120,100000,100000,100000
25,75000,79032,83484,89076,95712,100000
26,75000,77760,80904,84492,88992,94440
27,75000,81708,89664,99216,100000,100000
28,75000,82932,91968,100000,100000,100000
29,75000,77640,79812,82500,85776,89964
30,75000,82140,91320,100000,100000,100000
31,75000,79692,84948,91392,98964,100000
32,75000,80328,86508,93540,99994,100000
33,75000,79320,84648,90852,98292,100000
34,75000,82356,91188,100000,100000,100000
35,75000,77364,81096,84828,89532,95496
36,75000,77448,80664,83856,87912,92748
37,75000,80196,86856,94908,99988,100000
38,75000,77136,79764,82440,85920,90372
39,75000,80796,87348,95508,99994,100000
40,75000,77448,79644,83364,86988,91344
41,75000,78024,81564,85536,90492,96120
42,75000,82032,90276,100000,100000,100000
43,75000,81492,88884,97884,99994,100000
44,75000,80892,87996,97056,100000,100000
45,75000,77808,80436,84132,88920,94200
46,75000,76788,79440,82896,86232,90336
47,75000,78912,84036,90324,97260,100000
48,75000,82344,90744,100000,100000,100000
49,75000,77364,80040,83700,87552,93072
50,75000,79308,84888,91272,98556,100000
51,75000,76728,78756,81240,84636,88416
52,75000,77088,79740,82992,86928,91596
53,75000,79344,84504,90504,97632,100000
54,75000,81132,88176,96900,100000,100000
55,75000,77208,79404,82272,85956,90048
56,75000,79128,84000,90072,97152,100000
57,75000,78936,83832,89592,96204,100000
58,75000,78936,83724,89100,95520,100000
59,75000,82464,91356,100000,100000,100000
60,75000,81264,88764,97368,100000,100000
61,75000,81324,89244,98484,100000,100000
62,75000,78240,82368,86808,92640,99060
63,75000,79176,84000,89376,96288,100000
64,75000,81348,89280,99012,100000,100000
65,75000,80868,87816,96036,100000,100000
66,75000,81216,88512,97176,100000,100000
67,75000,79440,84180,90588,97740,100000
68,75000,78396,82032,87024,92856,100000
69,75000,82224,90744,100000,100000,100000
70,75000,83124,92592,100000,100000,100000
71,75000,79368,84504,90792,98388,100000
72,75000,82704,91728,100000,100000,99994
73,75000,82824,91944,100000,100000,100000
74,75000,81876,90264,99720,100000,100000
75,75000,80448,86472,93912,100000,99994
76,75000,78084,81816,86052,91176,98028
77,75000,81024,87936,96648,100000,100000
78,75000,79248,84072,89772,96456,100000
79,75000,78540,82908,88296,94752,100000
80,75000,79572,84852,91284,99420,100000
81,75000,82980,91980,100000,100000,100000
82,75000,80232,85632,92580,100000,100000
83,75000,75996,77736,79656,81720,83952
84,75000,80208,87180,95172,100000,99994
85,75000,81984,90108,99576,100000,100000
86,75000,77028,79128,81888,85728,90132
87,75000,80088,86304,93852,100000,99994
88,75000,78804,83676,89268,96456,100000
89,75000,77820,80580,83676,87252,91560
90,75000,81696,89700,99432,100000,100000
91,75000,77952,81396,85020,89508,94956
92,75000,79536,84588,90840,98280,100000
93,75000,76056,77472,79848,82392,85224
94,75000,78924,83928,89688,96576,100000
95,75000,78900,83136,88620,95232,100000
96,75000,80352,86940,94608,100000,100000
97,75000,76824,79032,81372,84480,88164
98,75000,76764,78780,81648,84900,88176
99,75000,83016,92064,100000,100000,100000
100,75000,79236,84768,91500,99168,99994
101,75000,80568,87540,95712,100000,99994
102,75000,77496,79848,83100,86604,90888
103,75000,77976,82044,86832,92796,99984
104,75000,79056,84252,90048,97200,100000
105,75000,81264,88188,96984,100000,99994
106,75000,79248,84648,90540,97920,100000
107,75000,78876,83508,88464,94920,100000
108,75000,80052,86532,93912,100000,100000
109,75000,76872,78468,80772,83484,86460
110,75000,77736,80928,85056,89508,95112
111,75000,81192,88932,97932,100000,100000
112,75000,80064,85980,93108,100000,100000
113,75000,79056,84204,90636,97764,100000
114,75000,81096,88668,96864,99994,100000
115,75000,79848,85716,92808,100000,100000
116,75000,78768,83640,89088,96108,99994
117,75000,83016,92244,99994,100000,100000
118,75000,79548,85440,92136,100000,100000
119,75000,80364,87048,94896,100000,100000
120,75000,77376,80496,84192,88704,94512
121,75000,78564,81648,85968,90792,96528
122,75000,77352,80136,83892,88200,93288
123,75000,79020,83688,89616,96480,100000
124,75000,81840,90180,100000,100000,100000
125,75000,78408,81408,85644,90516,96348
126,75000,77592,80736,84876,89880,95892
127,75000,78192,82272,87060,92532,98520
128,75000,78168,81720,86160,91440,97464
129,75000,82128,91524,100000,99994,100000
130,75000,78624,83532,88776,94932,100000
131,75000,77280,79392,81924,84600,87936
132,75000,77640,81180,85188,90000,95592
133,75000,78912,83892,89604,95784,100000
134,75000,82104,90036,99828,100000,100000
135,75000,79164,84384,90828,98568,100000
136,75000,80220,86184,93660,99994,100000
137,75000,81096,88176,96864,100000,100000
138,75000,77664,80484,84024,88116,92820
139,75000,77568,80316,83856,87828,93684
140,75000,80772,87780,95712,100000,100000
141,75000,80016,85584,92508,100000,100000
