,0,2000,4000,6000,8000,10000
1,75000,87000,99000,100000,100000,100000
2,75000,87000,99000,100000,100000,100000
3,75000,87000,99000,100000,100000,100000
4,75000,87000,99000,100000,100000,100000
5,75000,87000,99000,100000,100000,100000
6,75000,87000,99000,100000,100000,100000
7,75000,87000,99000,100000,100000,100000
8,75000,87000,99000,100000,100000,100000
9,75000,87000,99000,100000,100000,100000
10,75000,87000,99000,100000,100000,100000
11,75000,87000,99000,100000,100000,100000
12,75000,87000,99000,100000,100000,100000
13,75000,87000,99000,100000,100000,100000
14,75000,87000,99000,100000,100000,100000
15,75000,87000,99000,100000,100000,100000
16,75000,87000,99000,100000,100000,100000
17,75000,87000,99000,100000,100000,100000
18,75000,87000,99000,100000,100000,100000
19,75000,87000,99000,100000,100000,100000
20,75000,87000,99000,100000,100000,100000
21,75000,87000,99000,100000,100000,100000
22,75000,87000,99000,100000,100000,100000
23,75000,87000,99000,100000,100000,100000
24,75000,87000,99000,100000,100000,100000
25,75000,87000,99000,100000,100000,100000
26,75000,87000,99000,100000,100000,100000
27,75000,87000,99000,100000,100000,100000
28,75000,87000,99000,100000,100000,100000
29,75000,87000,99000,100000,100000,100000
30,75000,87000,99000,100000,100000,100000
31,75000,87000,99000,100000,100000,100000
32,75000,87000,99000,100000,100000,100000
33,75000,87000,99000,100000,100000,100000
34,75000,87000,99000,100000,100000,100000
35,75000,87000,99000,100000,100000,100000
36,75000,87000,99000,100000,100000,100000
37,75000,87000,99000,100000,100000,100000
38,75000,87000,99000,100000,100000,100000
39,75000,87000,99000,100000,100000,100000
40,75000,87000,99000,100000,100000,100000
41,75000,87000,99000,100000,100000,100000
42,75000,87000,99000,100000,100000,100000
43,75000,87000,99000,100000,100000,100000
44,75000,87000,99000,100000,100000,100000
45,75000,87000,99000,100000,100000,100000
46,75000,87000,99000,100000,100000,100000
47,75000,87000,99000,100000,100000,100000
48,75000,87000,99000,100000,100000,100000
49,75000,87000,99000,100000,100000,100000
50,75000,87000,99000,100000,100000,100000
51,75000,87000,99000,100000,100000,100000
52,75000,87000,99000,100000,100000,100000
53,75000,87000,99000,100000,100000,100000
54,75000,87000,99000,100000,100000,100000
55,75000,87000,99000,100000,100000,100000
56,75000,87000,99000,100000,100000,100000
57,75000,87000,99000,100000,100000,100000
58,75000,87000,99000,100000,100000,100000
59,75000,87000,99000,100000,100000,100000
60,75000,87000,99000,100000,100000,100000
61,75000,87000,99000,100000,100000,100000
62,75000,87000,99000,100000,100000,100000
63,75000,87000,99000,100000,100000,100000
64,75000,87000,99000,100000,100000,100000
65,75000,87000,99000,100000,100000,100000
66,75000,87000,99000,100000,100000,100000
67,75000,87000,99000,100000,100000,100000
68,75000,87000,99000,100000,100000,100000
69,75000,87000,99000,100000,100000,100000
70,75000,87000,99000,100000,100000,100000
71,75000,87000,99000,100000,100000,100000
72,75000,87000,99000,100000,100000,100000
73,75000,87000,99000,100000,100000,100000
74,75000,87000,99000,100000,100000,100000
75,75000,87000,99000,100000,100000,100000
76,75000,87000,99000,100000,100000,100000
77,75000,87000,99000,100000,100000,100000
78,75000,87000,99000,100000,100000,100000
79,75000,87000,99000,100000,100000,100000
80,75000,87000,99000,100000,100000,100000
81,75000,87000,99000,100000,100000,100000
82,75000,87000,99000,100000,100000,100000
83,75000,87000,99000,100000,100000,100000
84,75000,87000,99000,100000,100000,100000
85,75000,87000,99000,100000,100000,100000
86,75000,87000,99000,100000,100000,100000
87,75000,87000,99000,100000,100000,100000
88,75000,87000,99000,100000,100000,100000
89,75000,87000,99000,100000,100000,100000
90,75000,87000,99000,100000,100000,100000
91,75000,87000,99000,100000,100000,100000
92,75000,87000,99000,100000,100000,100000
93,75000,87000,99000,100000,100000,100000
94,75000,87000,99000,100000,100000,100000
95,75000,87000,99000,100000,100000,100000
96,75000,87000,99000,100000,100000,100000
97,75000,87000,99000,100000,100000,100000
98,75000,87000,99000,100000,100000,100000
99,75000,87000,99000,100000,100000,100000
100,75000,87000,99000,100000,100000,100000
101,75000,87000,99000,100000,100000,100000
102,75000,87000,99000,100000,100000,100000
103,75000,87000,99000,100000,100000,100000
104,75000,87000,99000,100000,100000,100000
105,75000,87000,99000,100000,100000,100000
106,75000,87000,99000,100000,100000,100000
107,75000,87000,99000,100000,100000,100000
108,75000,87000,99000,100000,100000,100000
109,75000,87000,99000,100000,100000,100000
110,75000,87000,99000,100000,100000,100000
111,75000,87000,99000,100000,100000,100000
112,75000,87000,99000,100000,100000,100000
113,75000,87000,99000,100000,100000,100000
114,75000,87000,99000,100000,100000,100000
115,75000,87000,99000,100000,100000,100000
116,75000,87000,99000,100000,100000,100000
117,75000,87000,99000,100000,100000,100000
118,75000,87000,99000,100000,100000,100000
119,75000,87000,99000,100000,100000,100000
120,75000,87000,99000,100000,100000,100000
121,75000,87000,99000,100000,100000,100000
122,75000,87000,99000,100000,100000,100000
123,75000,87000,99000,100000,100000,100000
124,75000,87000,99000,100000,100000,100000
125,75000,87000,99000,100000,100000,100000
126,75000,87000,99000,100000,100000,100000
127,75000,87000,99000,100000,100000,100000
128,75000,87000,99000,100000,100000,100000
129,75000,87000,99000,100000,100000,100000
130,75000,87000,99000,100000,100000,100000
131,75000,87000,99000,100000,100000,100000
132,75000,87000,99000,100000,100000,100000
133,75000,87000,99000,100000,100000,100000
134,75000,87000,99000,100000,100000,100000
135,75000,87000,99000,100000,100000,100000
136,75000,87000,99000,100000,100000,100000
137,75000,87000,99000,100000,100000,100000
138,75000,87000,99000,100000,100000,100000
139,75000,87000,99000,100000,100000,100000
140,75000,87000,99000,100000,100000,100000
141,75000,87000,99000,100000,100000,100000
142,75000,87000,99000,100000,100000,100000
143,75000,87000,99000,100000,100000,100000
144,75000,87000,99000,100000,100000,100000
145,75000,87000,99000,100000,100000,100000
146,75000,87000,99000,100000,100000,100000
147,75000,87000,99000,100000,100000,100000
148,75000,87000,99000,100000,100000,100000
149,75000,87000,99000,100000,100000,100000
150,75000,87000,99000,100000,100000,100000
151,75000,87000,99000,100000,100000,100000
152,75000,87000,99000,100000,100000,100000
153,75000,87000,99000,100000,100000,100000
154,75000,87000,99000,100000,100000,100000
