,0,2000,4000,6000,8000,10000,0,2000,4000,6000,8000,10000,0,2000,4000,6000,8000,10000,0,2000,4000,6000,8000,10000,0,2000,4000,6000,8000,10000
1,50.00,57.59,65.89,75.04,84.81,95.63,75.00,84.92,95.71,100.00,100.00,100.00,25.00,28.22,32.21,36.48,41.27,46.26,75.00,83.25,92.23,100.00,100.00,100.00,75.00,84.70,95.23,100.00,100.00,100.00
