,0,2000,4000,6000,8000,10000
1,50000,57590,65888,75038,84812,95630
2,50000,56558,63824,72044,80708,90272
3,50000,56024,63056,70508,78650,87632
4,50000,55844,61994,69038,76544,84890
5,50000,54770,59900,65858,72392,79274
6,50000,56108,62972,70358,78800,87536
7,50000,57200,64796,73154,82400,92570
8,50000,56276,63134,70580,78884,87728
9,50000,57656,65948,75080,85112,96146
10,50000,55820,62054,68684,76004,83834
11,50000,57836,66320,75656,85700,96698
12,50000,56114,62588,69788,77720,86150
13,50000,57344,65114,73754,83144,93416
14,50000,54716,60098,65810,71930,78752
15,50000,55436,61544,68288,75620,83384
16,50000,54872,60038,65744,72032,78566
17,50000,54932,60188,65630,71978,78644
18,50000,54752,59858,65384,71690,78242
19,50000,55556,61778,68426,75536,83504
20,50000,54488,59246,64862,70754,77456
21,50000,56468,63398,71078,79328,88532
22,50000,56618,63974,71462,80108,89564
23,50000,57164,65354,74156,83864,94310
24,50000,55700,61976,68726,76094,84506
25,50000,56714,64106,71822,80354,89834
26,50000,55436,61418,67772,74738,82502
27,50000,56204,63056,70514,78656,87866
28,50000,56918,64538,72860,82112,91976
29,50000,56948,64424,72902,82118,92150
30,50000,55586,61484,68102,75296,83084
31,50000,56564,63830,71636,80084,89492
32,50000,56936,64244,72410,81044,90590
33,50000,56714,64070,71852,80354,89738
34,50000,54722,60128,65918,72242,79148
35,50000,55226,61406,67892,74972,82592
36,50000,57044,64712,73298,82418,92522
37,50000,55592,61334,67868,75026,82904
38,50000,54686,60140,66152,72242,79178
39,50000,57830,66338,75530,85706,96728
40,50000,55364,60980,67418,74288,81842
41,50000,56210,62678,70016,77936,86498
42,50000,55856,62246,69620,77720,86564
43,50000,57380,65318,73760,83210,93740
44,50000,55928,62336,69170,77102,85706
45,50000,56300,63410,70754,79256,88382
46,50000,57722,66044,75140,84848,95738
47,50000,55682,62192,69170,76982,85298
48,50000,56108,62792,70310,78266,87020
49,50000,56906,64592,72836,81860,91598
50,50000,54602,60056,65468,71582,78020
51,50000,56198,63104,70700,78926,87890
52,50000,55514,61634,68174,75326,83192
53,50000,56006,62828,70430,78650,87770
54,50000,56318,63278,71006,79154,88334
55,50000,55490,61664,68216,75254,83072
56,50000,57698,65918,74858,84548,95336
57,50000,55520,61310,68018,75350,83174
58,50000,57086,64850,73160,82310,92438
59,50000,57506,66194,75422,85508,96326
60,50000,56318,63542,71192,79814,89024
61,50000,55796,62084,68810,76208,84722
62,50000,55028,59894,65864,72272,79262
63,50000,55832,62168,68840,76448,84878
64,50000,57368,65438,74342,83852,94328
65,50000,56354,63236,70988,79244,88340
66,50000,55880,62042,68822,76304,84404
67,50000,55958,62366,69518,77414,86168
68,50000,55940,62480,69452,77372,85994
69,50000,55742,61874,68708,76178,84284
70,50000,57272,65336,74174,83882,94478
71,50000,56396,63248,70724,78968,88154
72,50000,56978,64802,73160,82436,92228
73,50000,56780,64088,72212,80876,90554
74,50000,57080,64778,72746,81746,91550
75,50000,55886,62270,69146,76826,85034
76,50000,55004,60524,66314,72608,79766
77,50000,57614,65822,74828,84830,95660
78,50000,56582,63944,72110,81014,90458
79,50000,55262,61148,67562,74438,82196
80,50000,56174,62642,69716,77384,85886
81,50000,54440,59600,64958,71084,77522
82,50000,56528,63872,71900,80828,90608
83,50000,57002,64598,72980,82178,92402
84,50000,57146,65120,73916,83486,94106
85,50000,58016,66416,75644,85898,96944
86,50000,56990,64364,72434,81116,90830
87,50000,54902,60422,66410,73010,80306
88,50000,54686,59678,65336,71462,78140
89,50000,57668,65738,74636,84194,94760
90,50000,57770,65798,74828,84530,95180
91,50000,56114,62846,70106,78416,87200
92,50000,55742,62048,69134,76850,85124
93,50000,55214,60938,67454,74450,81752
94,50000,54998,60146,65924,72230,79124
95,50000,55502,61298,67592,74396,81926
96,50000,55208,60512,66200,72704,79382
97,50000,56402,63272,70898,79130,88346
98,50000,56654,63914,71954,80576,90158
99,50000,55856,62378,69530,77378,85826
100,50000,56354,63488,70964,79442,88472
101,50000,56216,62714,69824,77780,86492
102,50000,56120,62930,70496,78572,87368
103,50000,55316,61016,67550,74600,82466
104,50000,55046,60872,66848,73712,81146
105,50000,56306,63266,70904,78956,87860
106,50000,55628,61754,68426,75650,83486
107,50000,56960,64790,73418,82730,92942
108,50000,55196,61124,67706,74876,82814
109,50000,56432,63506,71606,80150,89522
110,50000,55166,60806,67094,73904,81236
111,50000,57572,65672,74756,84602,95132
112,50000,55028,60554,66650,72974,80144
113,50000,55730,62066,69062,76526,84716
114,50000,55532,61550,68588,76076,84278
