,0,2000,4000,6000,8000,10000
1,25000,28222,32206,36484,41272,46258
2,25000,28990,33244,37876,42814,48376
3,25000,27688,30838,34150,37804,41746
4,25000,28498,32182,36550,41038,45862
5,25000,28420,31936,35860,40042,44704
6,25000,29752,35230,41200,48046,55000
7,25000,28366,32092,36328,41116,45934
8,25000,27550,30448,33400,36664,40204
9,25000,27826,31114,34636,38530,42550
10,25000,29836,35068,40828,47350,54436
11,25000,27670,30622,33658,36916,40810
12,25000,27676,30886,34042,37858,41884
13,25000,27832,30712,33904,37696,41764
14,25000,28726,32548,36634,41386,46570
15,25000,30286,36286,42694,49486,57226
16,25000,29758,34834,40642,47020,53896
17,25000,28276,32218,36274,40552,45334
18,25000,27604,30604,33796,37408,41272
19,25000,28042,31432,34984,38908,43210
20,25000,30070,35938,41950,48910,56230
21,25000,28354,32062,36082,40600,45862
22,25000,29974,35314,41086,47722,54808
23,25000,27910,31192,34774,38710,43222
24,25000,27634,30124,32992,36058,39412
25,25000,27802,31006,34468,38158,42208
26,25000,27496,30070,33082,36388,39994
27,25000,28372,31798,35878,40198,44962
28,25000,28618,32128,36280,40546,45004
29,25000,30154,35806,41794,48466,55858
30,25000,28630,32152,36214,40714,45718
31,25000,28258,31948,36058,40480,45220
32,25000,28564,32668,37240,42328,47638
33,25000,29476,34408,39370,44974,51052
34,25000,29362,34342,39748,45616,51646
35,25000,30070,35542,41176,47542,54568
36,25000,29032,33256,38218,43294,48874
37,25000,28342,31948,35896,40204,44830
38,25000,27568,30310,33256,36724,40300
39,25000,30208,36040,42016,48754,56110
40,25000,29446,33976,39184,44776,51070
41,25000,27928,31018,34450,38104,42202
42,25000,30484,35968,42430,49564,57184
43,25000,29458,34240,39694,45640,52042
44,25000,27772,30856,33970,37564,41182
45,25000,28696,32752,37066,41920,47344
46,25000,27388,29848,32626,35860,39118
47,25000,29032,33154,37906,43138,48880
48,25000,29260,33916,38836,44188,50008
49,25000,28408,32128,36304,40852,45952
50,25000,27340,30052,32956,36262,39832
51,25000,30298,35752,42076,48718,55870
52,25000,29008,33490,38422,43678,49474
53,25000,30160,35722,41860,48610,55900
54,25000,28282,31846,35698,40270,45058
55,25000,30208,35944,41986,48748,56092
56,25000,27940,31186,34966,39070,43390
57,25000,30202,35776,42094,48712,55984
58,25000,28114,31588,35452,39388,43402
59,25000,29698,34948,40270,46252,52654
60,25000,30154,35728,41944,48460,55600
61,25000,28096,31558,35218,39430,43822
62,25000,27832,31090,34798,38680,42862
63,25000,28954,33202,38044,43360,49054
64,25000,27868,30934,34282,37918,41944
65,25000,27934,31156,34654,38032,41890
66,25000,29332,34372,39856,45748,52048
67,25000,29404,34288,39814,45754,52090
68,25000,28660,32608,36892,41332,46600
69,25000,28684,32482,36730,41452,46672
70,25000,28360,32158,36232,40690,45694
71,25000,29536,34330,39508,45526,51826
72,25000,29128,33574,38170,43564,49180
73,25000,27796,30832,34054,37726,41710
74,25000,29650,34654,40234,46264,52894
75,25000,29266,33958,39100,44644,50626
76,25000,30334,35686,41800,48556,55978
77,25000,29536,34468,40018,46234,52726
78,25000,27958,31168,34720,38350,42412
79,25000,29494,33748,38656,44224,50398
80,25000,27598,30280,33496,36814,40678
81,25000,27988,31366,34990,39094,43240
82,25000,28222,31708,35770,39934,44356
83,25000,30160,36010,42184,48820,56386
84,25000,29932,35518,41482,48274,55498
85,25000,27460,30268,33562,36988,40534
86,25000,28738,33070,37534,42298,47518
87,25000,29242,33844,38794,44536,50548
88,25000,28240,31828,35590,39976,44272
89,25000,29596,34636,40096,46144,52738
90,25000,28264,31840,35722,39784,44104
91,25000,29038,33514,38368,43570,49372
92,25000,27418,29950,32962,36292,39802
93,25000,27382,30112,33052,36160,39622
94,25000,30130,35548,41698,48418,55540
95,25000,28456,32242,36472,41308,45916
96,25000,27202,29830,32692,35758,39010
97,25000,29278,33760,38746,44314,50224
98,25000,28066,31714,35602,39970,44614
99,25000,29830,35098,40582,47032,53806
100,25000,29734,34786,40474,46840,53704
101,25000,29344,34066,39106,44566,50674
102,25000,28372,32242,36364,40978,45856
103,25000,27784,30880,34072,37258,40852
104,25000,29764,35080,40774,47050,53938
105,25000,29332,34024,39280,45136,51442
106,25000,30394,36082,42346,49096,56614
107,25000,28654,32554,36844,41524,47044
108,25000,28804,32830,37282,42034,47560
109,25000,29956,35458,41380,47746,54766
110,25000,29356,34390,39946,46066,52510
111,25000,29086,33484,38650,44044,50014
112,25000,28906,33172,38092,43420,48934
113,25000,27874,31102,34360,38032,42034
114,25000,28240,31936,35968,40288,45340
115,25000,27172,29986,32836,36040,39406
116,25000,29758,34864,40702,46912,53620
117,25000,29218,33850,38782,43990,49804
118,25000,29806,35098,40744,46996,53950
119,25000,29128,33616,38530,43678,49564
120,25000,27580,30580,33778,37312,40990
121,25000,28186,31624,35350,39298,43678
122,25000,27760,30808,34024,37552,41464
123,25000,29896,34996,40912,46876,53470
124,25000,30484,36424,43012,49738,57628
125,25000,28816,33100,37660,42874,48520
126,25000,28186,31384,34996,38848,43006
127,25000,28822,33376,38662,44020,50218
128,25000,28804,33118,37792,42832,48496
129,25000,30202,36028,42454,49426,56752
130,25000,27616,30346,33646,37042,40786
131,25000,27382,30076,32728,35722,38902
132,25000,29350,34210,39538,45442,51982
133,25000,28702,33076,37708,42670,48232
134,25000,27646,30406,33454,36790,40552
135,25000,30022,35362,41020,47656,54472
136,25000,28702,32680,36808,41476,46534
137,25000,29968,35434,41374,47980,55078
138,25000,29644,35002,40528,46594,53254
139,25000,27382,29860,32632,35710,39052
140,25000,28480,32506,36652,41338,46414
141,25000,27784,30694,33868,37498,41326
142,25000,30178,35710,41806,48610,56074
143,25000,28042,31276,34762,38566,42772
144,25000,29236,33862,38908,44398,50260
145,25000,27928,31450,35254,39376,43864
146,25000,30220,35758,41824,48364,55564
147,25000,28162,31816,35704,39808,44416
148,25000,27076,29572,32320,35326,38794
149,25000,29716,35026,40912,47236,53926
150,25000,28570,32200,36634,41410,46588
151,25000,27934,30724,33970,37564,41284
152,25000,28492,32218,36298,40654,45472
153,25000,28252,31972,36082,40504,45436
154,25000,29146,33544,38638,43948,49612
155,25000,28402,32278,36202,40630,45376
156,25000,28528,32284,36520,41020,45670
157,25000,28444,32398,36478,41176,46336
158,25000,28414,32218,36184,40702,45616
159,25000,28492,32350,36568,41338,46498
160,25000,29554,34426,39484,45112,51610
161,25000,27460,30178,32962,36088,39682
162,25000,28156,31690,35746,40408,45190
163,25000,29836,34726,40294,46048,52600
164,25000,28690,32944,37426,42400,47956
165,25000,27706,30610,33646,36958,40666
166,25000,28996,33016,37708,42520,47716
167,25000,27496,30016,32896,36130,39682
168,25000,27664,30580,33964,37540,41446
169,25000,30046,35578,41662,48574,55834
170,25000,27928,31096,34540,38188,42352
171,25000,29914,35320,41326,47488,54448
172,25000,29524,34342,39766,45460,51874
173,25000,28960,33130,37960,42868,48586
174,25000,27514,30352,33742,37276,41128
175,25000,28210,31786,35860,40066,44680
176,25000,27940,31324,34816,38722,42850
177,25000,28570,32602,36904,41686,47044
178,25000,27976,31342,35074,39124,43420
179,25000,27994,31120,34858,38818,43408
180,25000,28378,32014,36142,40822,45616
181,25000,30562,36190,42580,49438,57022
182,25000,28948,33526,38446,43714,49486
183,25000,30118,35836,41812,48544,55888
184,25000,29494,34582,40048,45700,52042
185,25000,28102,31096,34750,38698,42838
186,25000,27958,30916,34132,37762,42118
187,25000,28942,33148,37768,42898,48496
188,25000,29032,33382,37960,43006,48568
189,25000,29878,35260,41164,47710,54556
190,25000,28120,31234,35038,39082,43690
191,25000,28282,31630,35428,39598,44098
192,25000,28138,31870,35878,39958,44596
193,25000,29446,34534,40186,46366,53170
194,25000,28570,32620,36856,41884,46912
195,25000,27358,29824,32572,35680,38764
196,25000,29482,34480,39838,45478,51874
197,25000,28480,32338,36508,40942,45958
198,25000,28900,33400,38386,43480,49276
199,25000,28186,31672,35392,39628,43984
200,25000,29680,34858,40792,46822,53908
201,25000,28540,32416,36370,40672,45568
202,25000,30208,36022,42058,48970,56530
203,25000,28804,33112,37972,43180,49006
204,25000,29548,34576,40174,45994,52384
205,25000,28018,31600,35326,39418,43804
206,25000,27514,30166,33100,36538,40192
207,25000,28900,33094,37924,43012,48790
208,25000,30124,35620,41746,48214,55636
209,25000,30190,35692,42004,48688,55816
210,25000,27340,30172,33124,36286,39772
211,25000,28186,31612,35302,39472,44038
212,25000,29074,33322,37948,43042,48550
213,25000,28630,32722,37042,41656,46678
214,25000,28690,32662,37180,42046,47440
215,25000,28684,32992,37504,42640,48238
216,25000,27610,30406,33424,36646,40252
217,25000,29278,33994,39046,44722,51124
218,25000,29494,34288,39880,45832,52276
219,25000,28714,32764,37486,42226,47848
220,25000,28312,31984,36016,40402,45352
221,25000,30196,36034,42322,49372,57190
222,25000,30100,35950,42280,49294,56974
223,25000,27904,31288,35206,39370,43762
224,25000,29218,33640,38644,43930,50014
225,25000,30388,36178,42484,49492,56938
226,25000,29170,33598,38938,44374,50386
227,25000,28918,33238,38164,43456,49090
228,25000,27856,30670,34054,37642,41446
229,25000,27556,30286,33034,36406,40156
230,25000,29140,33910,39238,45016,51442
231,25000,29938,35428,41446,48082,55228
232,25000,27394,30040,33052,36250,39646
233,25000,28840,32728,37108,42310,47464
234,25000,30346,36310,42562,49270,56698
235,25000,29854,35392,41086,47350,54142
236,25000,29092,33832,39016,44704,50884
237,25000,29452,34588,40102,46288,52894
238,25000,30202,35620,41650,48304,55516
239,25000,29368,34396,39760,45772,52396
240,25000,29026,33514,38374,43432,48952
241,25000,28648,32572,36994,41722,46684
242,25000,28444,32482,36844,41602,46678
243,25000,29500,34456,40192,46072,52606
244,25000,28666,32470,36706,41308,46180
245,25000,28858,33010,37462,42274,47866
246,25000,27706,30730,33976,37414,41056
247,25000,30190,35806,42166,49072,56740
248,25000,27994,31360,34588,38248,42214
249,25000,30058,35212,41068,47452,54298
250,25000,30142,35596,41698,48100,55198
251,25000,28606,32362,36754,41296,46144
252,25000,29680,34642,40036,45676,51964
253,25000,28498,32266,36334,40738,45730
254,25000,28348,31978,35878,40282,45226
255,25000,29050,33556,38080,43450,49210
256,25000,28420,31954,35812,40174,45028
257,25000,29356,34060,39178,44776,50872
258,25000,27964,31060,34516,38398,42700
259,25000,29848,35218,41080,47494,54346
260,25000,30358,36022,42298,49084,56590
261,25000,27586,30448,33520,36868,40576
262,25000,27178,29818,32752,35746,38944
263,25000,29392,33958,38902,44488,50524
264,25000,30136,35908,41938,48598,55846
265,25000,28144,31324,34984,38902,43174
266,25000,28090,31576,35146,38962,43318
267,25000,29026,33562,38374,43636,49498
268,25000,28924,33286,38092,43432,48970
269,25000,30346,35968,42172,48724,56242
270,25000,29764,34798,40402,46546,53410
271,25000,30268,35998,42406,49396,56788
272,25000,28552,32236,36694,41368,46684
273,25000,28276,31756,35170,39232,43624
274,25000,28690,32566,36946,41728,47002
275,25000,29110,33610,38572,43942,49942
276,25000,29914,35302,41014,47506,54418
277,25000,28864,32896,37462,42454,47872
278,25000,27934,30994,34306,37930,42280
279,25000,27856,31174,34624,38614,42688
280,25000,29146,33802,38692,44344,50260
281,25000,27994,30928,34852,38818,43210
282,25000,29116,33646,38674,44128,50458
283,25000,27676,30364,33466,36796,40642
284,25000,28360,31918,35518,39772,44500
285,25000,27766,30982,34504,38542,42568
286,25000,29554,34480,39934,46114,52678
287,25000,28402,31990,36178,40366,45226
288,25000,30178,35590,41638,48370,55816
289,25000,29146,33406,38470,44008,49978
