,0,2000,4000,6000,8000,10000
1,25000,19912,13684,6124,0,0
2,25000,21652,17368,12568,6616,0
3,25000,17068,7648,0,0,0
4,25000,21676,17608,13072,7492,1060
5,25000,18160,10300,880,0,0
6,25000,21592,18184,13852,8500,1768
7,25000,22360,19756,16240,12244,7144
8,25000,18364,10540,1528,0,0
9,25000,17524,8524,0,0,0
10,25000,17656,9208,0,0,0
11,25000,18820,11068,2176,0,0
12,25000,17104,8308,0,0,0
13,25000,18832,12436,4564,6,0
14,25000,18784,11236,2380,0,0
15,25000,21292,17248,12556,6928,160
16,25000,22876,19792,16636,12784,8044
17,25000,19396,12244,3976,0,0
18,25000,22492,19912,16000,11524,6688
19,25000,18856,11572,3004,0,6
20,25000,17740,9196,0,0,0
21,25000,19408,12700,4888,0,0
22,25000,22132,18208,13852,8572,2404
23,25000,22540,18724,14440,9640,3820
24,25000,20848,15460,9052,1864,0
25,25000,20488,15196,9100,1828,0
26,25000,19828,13444,6028,0,0
27,25000,20200,13648,6328,0,0
28,25000,22876,19876,16300,12628,6916
29,25000,17428,8128,0,0,0
30,25000,22768,20836,18136,14860,10096
31,25000,18664,11056,2488,0,0
32,25000,16936,7192,0,0,0
33,25000,19276,12820,4876,0,0
34,25000,21448,16984,11596,5320,0
35,25000,18832,11008,1996,0,0
36,25000,23044,20572,17644,13804,9448
37,25000,21616,17824,13456,8368,1996
38,25000,17080,7444,0,0,0
39,25000,18376,10276,628,0,0
40,25000,20212,14104,7204,0,12
41,25000,19828,13516,6052,0,6
42,25000,18628,11092,2044,6,6
43,25000,20908,16132,10708,4132,0
44,25000,19288,12424,4216,0,0
45,25000,21256,17044,11668,5056,0
46,25000,18748,11140,2044,0,6
47,25000,20104,14032,6700,0,0
48,25000,21496,17008,12412,6400,0
49,25000,18256,9952,244,0,6
50,25000,19696,13468,5512,0,0
51,25000,17596,8392,6,0,0
52,25000,22264,19144,14668,9712,3292
53,25000,21736,17596,13012,7432,832
54,25000,20440,14764,7864,4,0
55,25000,16888,6916,0,0,0
56,25000,19948,13408,5188,0,0
57,25000,22816,20548,17764,14560,10252
58,25000,16492,6604,0,0,0
59,25000,19924,13984,6724,0,0
60,25000,19624,13288,5788,0,0
61,25000,18196,9988,424,0,0
62,25000,21592,17524,12760,7276,700
63,25000,20272,14680,7552,6,0
64,25000,19972,13564,6352,0,0
65,25000,20896,16000,10624,3520,0
66,25000,17980,9436,0,0,0
67,25000,22852,19960,16396,12292,7744
68,25000,19720,13456,5608,0,6
69,25000,18700,11884,3988,0,0
70,25000,19900,14092,7168,0,0
71,25000,19636,13984,6616,0,0
72,25000,17596,9424,6,0,0
73,25000,19480,12532,4528,0,0
74,25000,21592,17128,11932,5620,0
75,25000,17788,8692,0,0,0
76,25000,20692,15748,9916,2632,6
77,25000,21160,15436,9352,1744,0
78,25000,18856,11932,3172,0,0
79,25000,21700,17272,12148,5872,6
80,25000,20920,16684,11572,4768,0
81,25000,20344,15580,10000,2896,6
82,25000,22420,19168,15292,10324,4492
83,25000,20068,14704,8116,532,0
84,25000,17716,8512,0,0,0
85,25000,18592,10972,1516,0,0
86,25000,18232,10756,1804,0,0
87,25000,18436,10252,544,0,6
88,25000,21616,17296,12676,6364,0
89,25000,16828,7600,0,0,0
90,25000,18376,10420,1036,0,0
91,25000,18520,10756,1216,0,0
92,25000,22024,18568,14584,9988,3904
93,25000,22708,20704,17296,13492,8548
94,25000,18628,10732,1600,0,0
95,25000,19156,12220,3808,0,0
96,25000,18124,9784,0,0,0
97,25000,22420,18436,13840,8488,1876
98,25000,18016,10504,1312,0,0
99,25000,22876,20068,17644,14200,10180
100,25000,23080,20764,17752,14560,10564
101,25000,21856,17608,12508,6124,0
102,25000,22888,20740,18388,14920,11104
103,25000,20584,16252,10336,3808,0
104,25000,19732,13624,6052,0,0
105,25000,21268,17104,11968,5680,0
106,25000,22900,20500,17704,14716,10372
107,25000,20836,15628,10120,3388,0
108,25000,16828,7072,0,0,0
109,25000,20356,14884,7792,0,0
110,25000,22360,18976,14932,10264,4804
111,25000,17164,7408,0,0,0
112,25000,21736,18196,14200,9184,3076
113,25000,17140,7636,0,0,0
114,25000,22372,18928,15352,10684,5392
115,25000,20524,15016,8476,556,0
116,25000,21580,18172,13564,8572,2524
117,25000,19204,12172,4192,0,0
118,25000,19804,14056,6700,0,6
119,25000,19156,12412,4384,6,0
120,25000,23068,20128,17188,13708,8812
121,25000,18820,11008,1360,0,0
122,25000,19000,11944,3280,6,0
123,25000,18688,11008,2152,0,0
124,25000,19000,11908,3688,0,0
125,25000,20140,14488,7816,0,0
126,25000,17728,9028,0,0,0
127,25000,17296,7840,0,0,0
128,25000,22420,19228,15616,11404,6184
129,25000,18076,9640,0,0,0
130,25000,21412,17020,11584,4960,0
131,25000,19228,12748,4852,0,0
132,25000,18040,9628,0,0,6
133,25000,17680,9148,0,0,0
134,25000,22168,18712,14752,10180,4288
135,25000,23236,20704,17356,14176,9916
136,25000,19648,13312,5440,0,0
137,25000,21676,17800,12868,7264,592
138,25000,20968,16360,10372,3400,0
139,25000,19444,12724,4540,0,0
140,25000,22732,20224,16288,12280,7192
141,25000,21352,16936,11452,4996,0
142,25000,22504,19228,15400,11368,6160
143,25000,21472,16996,12016,5740,0
144,25000,22912,20248,16696,12592,7828
145,25000,22708,19096,15016,10204,4576
146,25000,19948,13816,6820,0,0
147,25000,17200,7468,0,0,0
148,25000,18760,11056,2512,0,0
149,25000,19096,11716,3040,0,0
150,25000,23212,20728,18136,15112,10852
151,25000,20632,15772,9964,3136,18
152,25000,18400,10396,520,0,0
153,25000,22408,18436,13984,8836,2200
154,25000,21196,16912,11560,5404,0
155,25000,20560,15568,9352,1888,0
156,25000,19288,13060,4840,0,0
157,25000,22072,18976,15676,11044,5884
158,25000,21232,16456,11080,4588,0
159,25000,23092,20092,16840,13372,9304
160,25000,22396,19060,15316,10828,5392
161,25000,20128,14080,7180,0,0
162,25000,21124,16456,10900,4516,0
163,25000,23116,20848,18172,14728,10228
164,25000,18880,11608,2884,0,0
165,25000,21856,17068,11884,5752,0
166,25000,21568,17500,13096,7456,868
167,25000,17716,8992,0,0,0
168,25000,20704,16012,9748,3280,0
169,25000,19984,14176,7324,0,0
170,25000,20188,13828,6400,0,6
171,25000,18424,10696,1528,0,0
172,25000,18772,11548,2824,0,0
173,25000,20716,15364,9232,1948,0
174,25000,19156,11668,3100,0,0
175,25000,21064,15448,8896,1480,0
176,25000,17200,8080,0,0,0
177,25000,21928,18268,13888,8428,1708
178,25000,23248,20548,18076,15328,11584
179,25000,21436,16612,11140,4528,0
180,25000,16960,7492,0,0,0
181,25000,17128,7576,0,0,0
182,25000,21052,16312,10876,4744,0
183,25000,17992,10096,748,0,0
184,25000,18412,10600,904,0,0
185,25000,21952,18916,14488,9508,3196
186,25000,20716,16012,10216,3028,0
187,25000,17740,9148,0,0,0
188,25000,20656,15448,10228,3016,0
189,25000,21088,16672,11524,5428,0
190,25000,19648,12844,5104,0,0
191,25000,18964,11956,3580,0,6
192,25000,18280,9868,0,0,0
193,25000,17416,7972,0,0,0
194,25000,21196,16756,11212,4492,6
195,25000,22156,18808,14272,9076,2944
196,25000,19264,12316,4288,0,0
197,25000,20248,15352,8692,904,0
198,25000,19996,14020,7096,0,0
199,25000,18928,12028,3844,0,6
200,25000,19516,13192,5176,0,0
201,25000,21664,17560,12880,7288,1204
202,25000,22816,20656,17812,14344,10228
203,25000,21520,17776,13180,8380,1792
204,25000,19360,13192,5968,0,0
205,25000,21424,16984,12892,7612,736
206,25000,21016,15964,9976,2656,6
207,25000,18928,11584,3280,0,6
208,25000,17944,9544,0,0,0
209,25000,19408,12448,4336,0,0
210,25000,17188,8116,0,0,0
211,25000,17104,7864,0,0,0
212,25000,21160,15808,9856,2728,0
213,25000,20128,13924,6448,0,0
214,25000,16792,7348,0,0,0
215,25000,16588,6820,0,0,0
216,25000,19336,12328,4372,0,0
217,25000,19336,11536,2392,0,0
218,25000,18664,11128,1924,0,0
219,25000,18664,11080,2260,0,0
220,25000,22420,19336,15964,11728,7084
221,25000,18928,12172,3688,0,0
222,25000,17224,7684,0,0,0
223,25000,21040,16252,9784,2428,0
224,25000,19204,11980,3688,0,0
225,25000,16648,6832,0,0,0
226,25000,16924,7312,0,0,0
227,25000,16960,7288,0,0,0
228,25000,18028,9856,0,0,0
229,25000,18172,9904,328,0,0
230,25000,18172,9628,0,0,0
231,25000,22348,19924,16816,13552,8524
232,25000,20044,14644,7864,0,0
233,25000,17176,7504,0,0,0
234,25000,19444,13264,5728,0,0
235,25000,19036,11392,2896,6,0
236,25000,20512,15532,9328,1684,0
237,25000,22612,19816,15952,11644,6400
238,25000,20284,14560,8344,892,0
239,25000,23188,20368,17608,14560,9904
240,25000,20308,15088,9004,1444,0
241,25000,17968,9184,0,0,6
242,25000,20740,15844,9220,1600,0
243,25000,21904,18316,14068,9532,3736
244,25000,17320,7828,0,6,0
245,25000,22504,19504,15700,11296,6220
246,25000,17488,8404,0,0,0
247,25000,17416,7900,0,0,0
248,25000,19780,13456,5740,0,0
249,25000,22000,18172,14020,8416,1864
250,25000,19312,12532,3748,0,0
251,25000,17116,7780,0,0,0
252,25000,20356,13924,6748,0,0
253,25000,18088,10000,160,0,0
254,25000,18028,9556,0,0,0
255,25000,17968,9472,0,0,0
256,25000,22156,18964,14848,10276,4264
257,25000,19096,12316,4108,0,12
258,25000,19408,12292,3616,0,0
259,25000,20944,15772,9832,2332,0
260,25000,22912,20176,17212,13288,8992
261,25000,17332,8164,0,0,0
262,25000,20368,14992,8272,0,0
263,25000,19216,12652,4900,0,0
264,25000,16816,7180,0,0,0
265,25000,17968,9628,0,0,0
266,25000,16732,7120,0,0,0
267,25000,22048,18808,14980,9604,3904
268,25000,23008,21100,18820,15460,11632
269,25000,22372,19396,15676,11392,6352
270,25000,16696,6916,0,0,0
271,25000,18952,11740,3124,0,0
272,25000,23500,20572,17404,13852,9136
273,25000,18388,10360,712,6,0
274,25000,20932,15928,10432,3448,0
275,25000,22036,18160,13288,7792,1744
276,25000,17716,8800,0,0,0
277,25000,18628,10504,772,0,0
278,25000,16924,7312,0,0,0
279,25000,19672,12784,4864,0,0
280,25000,19408,12772,4876,0,0
281,25000,19312,12484,4432,0,0
282,25000,19684,13348,6184,0,0
283,25000,16300,5980,0,0,0
284,25000,19984,13792,6328,0,0
285,25000,17140,7936,0,0,0
286,25000,20680,15820,10036,3544,6
287,25000,18388,10252,436,0,0
288,25000,17224,8140,0,0,0
289,25000,18472,10432,1096,0,6
290,25000,19900,13792,6628,0,0
291,25000,22264,18664,14464,9904,3976
292,25000,20476,15844,10000,2932,6
293,25000,17128,7924,0,0,0
294,25000,16756,7084,0,0,0
295,25000,17572,9256,0,6,0
296,25000,20632,15832,10060,2788,0
297,25000,21412,17284,11836,5704,0
298,25000,17092,7288,0,0,0
299,25000,21112,16252,9856,2824,0
300,25000,19828,14236,7252,0,0
301,25000,17404,7900,0,0,0
302,25000,20620,15724,9292,1828,6
303,25000,22732,19576,16612,12460,8128
304,25000,17668,8608,0,0,0
305,25000,22408,19228,15448,11200,5980
306,25000,19408,13252,5644,0,0
307,25000,18532,11044,2140,0,0
308,25000,21160,16504,11224,4684,6
309,25000,16972,7300,0,0,0
310,25000,21796,17920,13432,8908,2968
311,25000,19276,13036,4756,0,0
312,25000,18268,9868,232,0,0
313,25000,21160,16264,10804,4480,0
314,25000,21460,17536,13264,7396,592
315,25000,17908,9700,0,0,0
316,25000,18472,10732,1648,0,0
317,25000,19792,13672,6088,0,0
318,25000,17704,8992,0,0,0
319,25000,20344,14440,7276,0,0
320,25000,21400,17068,11920,5560,0
321,25000,17428,8716,0,0,6
322,25000,16804,6868,0,0,0
323,25000,20392,14968,8632,832,0
324,25000,19720,13924,6904,0,0
325,25000,18004,9484,0,0,0
326,25000,18064,9904,0,6,0
327,25000,22972,21052,18028,14872,10912
328,25000,17320,7876,0,0,0
329,25000,23440,21244,18436,14920,11488
330,25000,22480,19408,15808,11512,6616
331,25000,18496,10408,1024,6,0
332,25000,20296,14680,8284,580,0
333,25000,23644,21172,18688,15160,11068
334,25000,17680,9160,0,0,0
335,25000,18532,11044,1756,6,0
336,25000,19132,12136,4036,0,0
337,25000,18952,11596,2368,0,0
338,25000,19936,13276,5896,0,0
339,25000,23548,21412,18976,16204,12700
340,25000,19408,12472,4444,6,0
341,25000,20932,16180,10060,2668,0
342,25000,20056,14212,7312,6,6
343,25000,17488,7900,0,0,6
344,25000,17992,9832,4,0,0
345,25000,18016,9760,0,0,0
346,25000,16744,7168,0,0,0
347,25000,20452,13552,5668,0,0
348,25000,17368,8296,0,0,0
349,25000,17080,7288,0,0,0
350,25000,20236,14164,7132,0,0
351,25000,19276,12844,4672,0,0
352,25000,23224,21028,17956,13984,9748
353,25000,21880,18184,13456,7852,1012
354,25000,23404,21004,18364,15148,11536
355,25000,22192,18124,13852,8932,2824
356,25000,17584,8656,0,0,0
357,25000,17896,9832,0,0,0
358,25000,17788,8848,0,0,0
359,25000,18448,10864,1840,0,0
360,25000,20140,14800,8188,28,0
361,25000,18052,9220,0,0,0
362,25000,21052,16696,11284,4420,6
363,25000,22372,20044,16408,12364,7276
364,25000,22576,19624,15868,11344,6028
365,25000,21604,17164,11992,6016,6
366,25000,18712,11200,2044,0,0
367,25000,21832,16912,11608,5164,0
368,25000,22684,20020,16792,13012,8632
369,25000,18052,9460,0,0,0
370,25000,22060,18700,14824,9916,4048
371,25000,23068,20500,17668,13912,9556
372,25000,22168,17920,13684,7816,1276
373,25000,17284,8068,0,0,0
374,25000,16840,7288,0,0,0
375,25000,18736,11500,2740,0,0
376,25000,17296,8284,0,0,0
377,25000,20500,15208,8776,904,0
378,25000,20992,16732,11416,4876,0
379,25000,22744,20500,17224,12748,8236
380,25000,20476,15688,9640,2296,0
381,25000,22060,18748,14836,10204,4144
382,25000,17572,9160,6,0,0
383,25000,20032,13972,6772,0,0
384,25000,16312,6160,0,0,0
385,25000,17032,7876,0,0,0
386,25000,19444,14632,8356,856,0
387,25000,17932,10000,100,0,0
388,25000,18256,9712,0,0,0
389,25000,21820,17824,12772,6916,0
390,25000,16984,7216,0,0,0
391,25000,21844,18316,14008,9352,3520
392,25000,17248,8008,6,0,0
393,25000,22576,19804,16348,13048,8488
394,25000,23416,21064,18340,14488,10324
395,25000,22024,18556,14284,9124,2872
396,25000,18844,11368,2284,0,0
397,25000,20104,14956,8572,1648,0
398,25000,20956,15688,9484,2200,0
399,25000,16576,6832,0,0,0
400,25000,22960,20056,16768,12868,8188
401,25000,21928,18736,15460,10828,5764
402,25000,16732,6688,0,0,0
403,25000,17632,8860,0,0,6
404,25000,22168,18796,15784,11212,6460
405,25000,18808,11596,3112,0,0
406,25000,18916,10960,1804,0,0
407,25000,16696,6724,0,0,0
408,25000,21268,16588,11320,4792,0
409,25000,19384,12652,4828,0,0
410,25000,18304,10276,976,0,0
411,25000,18544,11056,1972,0,12
412,25000,21352,16936,11248,4396,0
413,25000,21496,17740,13468,8476,2500
414,25000,22396,18892,14668,10468,5128
415,25000,22984,20608,17932,14824,10900
416,25000,21424,17776,12916,6868,0
417,25000,19348,12340,4252,0,0
418,25000,22360,19048,14836,9676,3712
419,25000,20320,14584,8032,340,0
420,25000,18964,11296,2368,0,0
421,25000,21772,18292,13492,8092,1732
422,25000,20080,14356,7216,0,6
423,25000,18592,11128,2392,0,0
424,25000,17944,9628,0,6,0
425,25000,20200,14152,7120,6,0
426,25000,21556,17452,12712,6664,6
427,25000,22852,20236,17032,13180,8812
428,25000,18268,9748,0,0,0
429,25000,17656,9496,0,0,0
430,25000,20920,15580,9268,1624,0
431,25000,21436,17716,12736,6628,0
432,25000,22612,19504,16420,12052,7048
433,25000,17032,7372,0,0,0
434,25000,19084,12280,4000,0,6
435,25000,23164,20776,18148,14620,10504
436,25000,17944,9232,0,0,0
437,25000,22408,19912,16408,11788,6832
438,25000,21208,16612,10636,3652,0
439,25000,19708,14068,7420,6,0
440,25000,20968,16252,10588,3952,0
441,25000,22708,20440,17512,14344,10192
442,25000,19492,12484,4420,0,0
443,25000,21364,17236,12004,5188,0
444,25000,16720,6820,0,0,0
445,25000,19192,12244,4012,0,0
446,25000,19876,13180,5008,0,0
447,25000,17560,8596,0,0,0
448,25000,17272,7336,0,0,0
449,25000,18460,10276,568,0,0
450,25000,18796,11956,3448,0,0
451,25000,21592,17632,13012,7660,1240
452,25000,18508,10192,784,0,0
453,25000,21556,18076,13924,8860,3124
454,25000,22264,18664,14656,9904,4384
455,25000,21640,17656,12772,7084,196
456,25000,22972,20920,18520,15748,12016
457,25000,22240,19132,15472,10768,5344
458,25000,21388,16276,10648,4120,0
459,25000,23092,20500,17548,13900,9388
460,25000,22180,19024,15076,10000,4012
461,25000,21172,15964,9928,2500,0
462,25000,22780,20572,17320,13720,9112
463,25000,19996,14428,7240,0,0
464,25000,21832,18112,13216,7852,1408
465,25000,19792,13804,6328,6,0
466,25000,16972,7204,0,0,0
467,25000,20932,15964,10300,3340,0
468,25000,20896,15232,8236,244,0
469,25000,22240,18088,13240,7336,304
470,25000,23332,21352,18544,15076,11176
471,25000,21496,16576,11320,5044,0
472,25000,20956,16444,10876,3700,0
473,25000,21184,16480,11248,4708,0
474,25000,22492,19444,16060,11944,7048
475,25000,19072,12292,3448,0,0
476,25000,21628,17740,12940,7288,196
477,25000,20224,13864,6616,0,0
478,25000,20560,16012,10180,3100,0
479,25000,20260,14356,7216,0,0
480,25000,19636,12796,4516,0,0
481,25000,21508,17260,11764,5764,12
482,25000,20212,13708,6676,0,18
483,25000,19276,12676,4756,0,0
484,25000,19324,12628,4300,0,0
485,25000,18988,11752,3160,0,0
486,25000,18160,10000,184,0,0
487,25000,22072,18208,13816,8752,2368
488,25000,21100,16072,10264,3220,0
489,25000,17608,9124,0,0,0
490,25000,19408,13480,6268,0,0
491,25000,23032,20992,18340,15820,11908
492,25000,16828,6664,0,0,0
493,25000,21856,17860,13012,7420,892
494,25000,19480,13120,4924,0,0
495,25000,17056,7852,0,0,0
496,25000,16744,7072,0,0,0
497,25000,16804,7012,0,0,0
498,25000,20824,15232,8956,1540,6
499,25000,21928,17812,13408,8056,1924
500,25000,23104,20308,17332,13888,10144
501,25000,19000,11920,3772,0,0
502,25000,22420,19288,16084,12016,6868
503,25000,22372,18700,14596,9460,3448
504,25000,17632,8440,0,0,0
505,25000,19648,13132,5380,6,0
506,25000,19432,12580,4372,0,0
507,25000,21520,17032,12328,6304,0
508,25000,17296,8176,0,0,0
509,25000,20128,14140,6784,0,0
510,25000,17812,9196,0,0,0
511,25000,21220,16684,11692,5536,0
512,25000,22564,19876,16396,12592,7396
513,25000,20932,15604,9592,2404,0
514,25000,16696,6736,0,0,0
515,25000,18028,9472,0,0,0
516,25000,19684,13648,6328,0,0
