,0,2000,4000,6000,8000,10000
1,50000,47588,44936,41504,37136,32264
2,50000,49292,49388,49916,50300,50576
3,50000,50000,50072,50300,50288,49952
4,50000,51896,55232,57848,61412,65492
5,50000,49880,49352,48440,48584,47576
6,50000,48584,46808,44588,42200,39008
7,50000,48740,47720,46508,45104,43352
8,50000,51308,53156,55340,57848,61952
9,50000,47924,45464,42620,39224,34616
10,50000,50744,51800,52700,54488,55892
11,50000,47336,44060,40544,36200,31076
12,50000,50732,51140,51092,51296,51476
13,50000,49364,48296,47084,46148,44840
14,50000,47672,44732,40412,35888,30632
15,50000,51656,53660,55904,58316,61652
16,50000,46760,42512,37760,31820,25136
17,50000,49340,48356,47240,45860,44132
18,50000,49700,49052,48872,48344,47576
19,50000,49952,49412,48716,48020,47240
20,50000,48524,47108,45392,43400,40904
21,50000,47192,44072,40748,36644,32036
22,50000,52784,56036,60284,64904,70244
23,50000,50324,50312,50324,50276,50264
24,50000,46484,42248,37340,31700,24908
25,50000,52412,55100,58220,61700,66272
26,50000,50936,51584,52688,53708,55004
27,50000,50336,50984,51116,51932,52604
28,50000,49640,49352,49052,48128,47864
29,50000,46484,42920,38036,32792,26228
30,50000,47528,44600,41168,37004,31520
31,50000,50756,51488,51884,52172,52784
32,50000,48104,45680,42908,39800,35732
33,50000,51992,54692,57884,61484,66128
34,50000,50720,51812,52760,55112,56960
35,50000,48680,47576,45836,43832,41588
36,50000,48212,45320,42692,39236,34904
37,50000,51332,52748,54812,57176,60200
38,50000,51872,54392,56924,60596,64976
39,50000,50912,52256,54020,56084,58856
40,50000,50348,50828,50972,51224,51788
41,50000,51740,53468,55364,58088,61328
42,50000,45968,41900,36812,30740,23492
43,50000,51656,53588,55232,57176,60392
44,50000,47132,44192,40328,35504,29984
45,50000,51140,52028,53540,55400,57548
46,50000,51524,53012,55424,58376,61592
47,50000,50828,51788,52892,54032,55124
48,50000,47948,46004,44048,41384,38348
49,50000,46388,42140,37160,30608,22964
50,50000,48080,45500,43112,39476,34796
51,50000,48140,46304,43760,40628,36956
52,50000,47420,45188,42476,39524,35156
53,50000,46988,43268,38684,32888,26312
54,50000,48728,47648,45800,43808,41900
55,50000,46340,42188,37460,31616,24512
56,50000,47000,43376,39476,34664,28448
57,50000,47288,43628,39464,34436,28712
58,50000,49076,48056,46856,45416,43640
59,50000,49796,49664,49328,49196,49448
60,50000,52316,54752,57968,61664,65948
61,50000,49292,47876,46100,43976,42092
62,50000,48440,46400,43892,40208,36188
63,50000,49304,47900,46424,44612,42260
64,50000,51692,53732,56072,59144,63608
65,50000,50360,50480,51020,52232,52640
66,50000,49220,48236,47516,46076,44204
67,50000,49592,49736,49616,49652,49520
68,50000,52304,54788,58100,62048,66980
69,50000,51944,54032,56912,59756,63776
70,50000,49388,48368,47192,46340,45032
71,50000,47636,44372,41324,37316,31844
72,50000,51728,53660,55448,57380,60536
73,50000,48044,46556,44888,42884,41024
74,50000,52352,54716,57464,60872,64400
75,50000,50336,51596,52700,54296,55568
76,50000,48008,45380,42248,38972,34520
77,50000,52496,55340,59552,64016,69500
78,50000,48404,46028,43220,40148,36572
79,50000,51524,52808,55064,57356,60032
80,50000,52064,54248,57104,60728,65120
81,50000,50564,52016,52988,54044,55592
82,50000,52028,54908,58136,62576,67724
83,50000,49760,49292,48980,48728,48776
84,50000,50948,51356,51872,51908,52148
85,50000,52628,56048,59648,64616,69956
86,50000,47144,43940,39692,34808,29060
87,50000,48008,46088,43064,39260,35072
88,50000,46940,43616,39524,34304,28220
89,50000,46640,42188,37376,31760,25268
90,50000,48872,47336,45728,44168,42380
91,50000,47588,45416,43196,40808,37424
92,50000,49952,49976,50216,49928,50108
93,50000,47288,43664,39080,34328,28208
94,50000,52316,55172,58592,62264,67364
95,50000,52784,56156,60068,64664,70208
96,50000,52304,55184,58508,62288,66584
97,50000,47420,44528,40028,35420,29972
98,50000,46220,42728,37724,31688,24476
99,50000,50312,51428,51668,52496,53360
100,50000,49376,48404,46988,45572,43640
101,50000,52400,55448,58424,62168,66488
102,50000,51476,52640,54212,56432,59096
103,50000,52112,54980,58556,62660,67232
104,50000,47444,44300,40652,36464,31628
105,50000,51620,53408,55148,57188,59744
106,50000,47852,45020,41024,36812,32384
107,50000,49736,49244,49088,48044,47216
108,50000,51236,52880,54572,56996,59300
109,50000,51620,53228,55148,57524,60044
110,50000,50132,50492,50876,50684,50876
111,50000,47984,46076,43244,39620,35816
112,50000,51728,53792,55100,57200,59912
113,50000,48188,46184,43784,41144,37856
114,50000,52916,57020,61292,66200,71912
115,50000,49952,50156,50936,51176,51908
116,50000,50372,50516,50252,50060,50300
117,50000,47540,44216,40448,35840,30200
